ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1068135693,830000,20250425,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2505,CBOEVIX 2505,,CME,USD,246,25.4379
2506,CBOEVIX 2506,,CME,USD,49,24.8708
