ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,343927477,340000,20250318,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2503,CBOEVIX 2503,,CME,USD,12,21.5211
2504,CBOEVIX 2504,,CME,USD,100,20.6804
