ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,2161761103,2080000,20250526,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2506,CBOEVIX 2506,,CME,USD,623,20.6395
2507,CBOEVIX 2507,,CME,USD,34,21.2388
