ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1899901577,1880000,20250603,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2506,CBOEVIX 2506,,CME,USD,445,20.0219
2507,CBOEVIX 2507,,CME,USD,205,21.0379
