ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,332752267,340000,20250319,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2503,CBOEVIX 2503,,CME,USD,6,20.8352
2504,CBOEVIX 2504,,CME,USD,106,19.9169
