ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1025050672,890000,20250513,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2505,CBOEVIX 2505,,CME,USD,108,22.0058
2506,CBOEVIX 2506,,CME,USD,217,22.092
