ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1727322377,1430000,20250407,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2504,CBOEVIX 2504,,CME,USD,204,26.3753
2505,CBOEVIX 2505,,CME,USD,272,24.1926
