ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1311241349,1330000,20250520,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2505,CBOEVIX 2505,,CME,USD,67,17.9271
2506,CBOEVIX 2506,,CME,USD,468,19.4121
