ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1977814659,2020000,20250605,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2506,CBOEVIX 2506,,CME,USD,406,19.204
2507,CBOEVIX 2507,,CME,USD,296,20.574
