ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,2103050546,1450000,20250408,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2504,CBOEVIX 2504,,CME,USD,170,32.4976
2505,CBOEVIX 2505,,CME,USD,277,28.5193
