ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1511677593,1510000,20250521,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2505,CBOEVIX 2505,,CME,USD,53,18.2044
2506,CBOEVIX 2506,,CME,USD,588,19.6515
