ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,477114254,530000,20250327,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2504,CBOEVIX 2504,,CME,USD,132,18.2072
2505,CBOEVIX 2505,,CME,USD,41,18.6554
