ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,481899415,520000,20250303,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2503,CBOEVIX 2503,,CME,USD,114,19.3063
2504,CBOEVIX 2504,,CME,USD,53,19.4276
