ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1251130210,820000,20250414,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2504,CBOEVIX 2504,,CME,USD,53,35.8622
2505,CBOEVIX 2505,,CME,USD,227,29.871
