ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,2067689430,1880000,20250527,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2506,CBOEVIX 2506,,CME,USD,587,22.0425
2507,CBOEVIX 2507,,CME,USD,69,22.2839
