ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,444221999,420000,20250310,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2503,CBOEVIX 2503,,CME,USD,57,22.8281
2504,CBOEVIX 2504,,CME,USD,78,21.7923
