ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1530916381,1500000,20250530,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2506,CBOEVIX 2506,,CME,USD,478,19.92
2507,CBOEVIX 2507,,CME,USD,128,20.7911
