ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,439784008,490000,20250326,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2504,CBOEVIX 2504,,CME,USD,141,18.0635
2505,CBOEVIX 2505,,CME,USD,33,18.4989
