ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,761921232,860000,20250227,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2503,CBOEVIX 2503,,CME,USD,183,18.4836
2504,CBOEVIX 2504,,CME,USD,49,18.7907
