ETF Code,ETF Name  ,Fund Cash Component,Shares Outstanding,Fund Date,,
318A,SIMPLEX VIX Short-Term Futures ETF,1116422998,830000,20250421,,
,,,,,,
Code,Name  ,ISIN,Exchange,Currency,Shares Amount,Stock Price
2505,CBOEVIX 2505,,CME,USD,282,26.7284
2506,CBOEVIX 2506,,CME,USD,12,25.7621
